Career Cluster,Career Pathway,Code,Occupation
Health Science,Therapeutic Services,29-1064.00,Obstetricians and Gynecologists
Health Science,Therapeutic Services,29-9012.00,Occupational Health and Safety Technicians
Health Science,Therapeutic Services,29-1122.00,Occupational Therapists
Health Science,Therapeutic Services,31-2012.00,Occupational Therapy Aides
Health Science,Therapeutic Services,31-2011.00,Occupational Therapy Assistants
Health Science,Therapeutic Services,51-9083.00,Ophthalmic Laboratory Technicians
Health Science,Therapeutic Services,29-1069.06,Ophthalmologists
Health Science,Therapeutic Services,29-2081.00,"Opticians, Dispensing"
Health Science,Therapeutic Services,29-1041.00,Optometrists
Health Science,Therapeutic Services,29-1022.00,Oral and Maxillofacial Surgeons
Health Science,Therapeutic Services,31-1015.00,Orderlies
Health Science,Therapeutic Services,29-1023.00,Orthodontists
Health Science,Therapeutic Services,29-1199.05,Orthoptists
Health Science,Therapeutic Services,29-2091.00,Orthotists and Prosthetists
Health Science,Therapeutic Services,29-1069.07,Pathologists
Health Science,Therapeutic Services,29-1065.00,"Pediatricians, General"
Health Science,Therapeutic Services,29-1051.00,Pharmacists
Health Science,Therapeutic Services,31-9095.00,Pharmacy Aides
Health Science,Therapeutic Services,29-2052.00,Pharmacy Technicians
Health Science,Therapeutic Services,29-1069.08,Physical Medicine and Rehabilitation Physicians
Health Science,Therapeutic Services,31-2022.00,Physical Therapist Aides
Health Science,Therapeutic Services,31-2021.00,Physical Therapist Assistants
Health Science,Therapeutic Services,29-1123.00,Physical Therapists
Health Science,Therapeutic Services,29-1071.00,Physician Assistants
Health Science,Therapeutic Services,29-1069.00,"Physicians and Surgeons, All Other"
Health Science,Therapeutic Services,29-1081.00,Podiatrists
Health Science,Therapeutic Services,29-1069.09,Preventive Medicine Physicians
Health Science,Therapeutic Services,29-1024.00,Prosthodontists
Health Science,Therapeutic Services,31-1013.00,Psychiatric Aides
Health Science,Therapeutic Services,29-2053.00,Psychiatric Technicians
Health Science,Therapeutic Services,29-1066.00,Psychiatrists
Health Science,Therapeutic Services,19-3039.00,"Psychologists, All Other"
Health Science,Therapeutic Services,25-1066.00,"Psychology Teachers, Postsecondary"
Health Science,Therapeutic Services,29-1124.00,Radiation Therapists
Health Science,Therapeutic Services,29-2099.06,Radiologic Technicians
Health Science,Therapeutic Services,29-2034.00,Radiologic Technologists
Health Science,Therapeutic Services,29-1125.00,Recreational Therapists
Health Science,Therapeutic Services,29-1141.00,Registered Nurses
Health Science,Therapeutic Services,29-1126.00,Respiratory Therapists
Health Science,Therapeutic Services,29-2054.00,Respiratory Therapy Technicians
Health Science,Therapeutic Services,19-3031.01,School Psychologists
Health Science,Therapeutic Services,27-2042.01,Singers
Health Science,Therapeutic Services,21-1093.00,Social and Human Service Assistants
Health Science,Therapeutic Services,29-1127.00,Speech-Language Pathologists
Health Science,Therapeutic Services,31-9099.01,Speech-Language Pathology Assistants
Health Science,Therapeutic Services,29-1069.11,Sports Medicine Physicians
Health Science,Therapeutic Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Health Science,Therapeutic Services,29-1067.00,Surgeons
Health Science,Therapeutic Services,29-2055.00,Surgical Technologists
Health Science,Therapeutic Services,29-1129.00,"Therapists, All Other"
Health Science,Therapeutic Services,29-1069.12,Urologists
Health Science,Therapeutic Services,29-1131.00,Veterinarians
Health Science,Therapeutic Services,29-2056.00,Veterinary Technologists and Technicians
Hospitality and Tourism,Lodging,39-6011.00,Baggage Porters and Bellhops
Hospitality and Tourism,Lodging,39-6012.00,Concierges
Hospitality and Tourism,Lodging,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Hospitality and Tourism,Lodging,11-9051.00,Food Service Managers
Hospitality and Tourism,Lodging,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Hospitality and Tourism,Lodging,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Hospitality and Tourism,Lodging,51-6011.00,Laundry and Dry-Cleaning Workers
Hospitality and Tourism,Lodging,11-9081.00,Lodging Managers
Hospitality and Tourism,Lodging,37-2012.00,Maids and Housekeeping Cleaners
Hospitality and Tourism,Lodging,39-9041.00,Residential Advisors
Hospitality and Tourism,Lodging,43-2011.00,"Switchboard Operators, Including Answering Service"
Hospitality and Tourism,Lodging,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-3091.00,Amusement and Recreation Attendants
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-2011.00,Animal Trainers
Hospitality and Tourism,"Recreation, Amusements and Attractions",27-2021.00,Athletes and Sports Competitors
Hospitality and Tourism,"Recreation, Amusements and Attractions",25-9021.00,Farm and Home Management Advisors
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-3012.00,Gaming and Sports Book Writers and Runners
Hospitality and Tourism,"Recreation, Amusements and Attractions",43-3041.00,Gaming Cage Workers
Hospitality and Tourism,"Recreation, Amusements and Attractions",41-2012.00,Gaming Change Persons and Booth Cashiers
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-3011.00,Gaming Dealers
Hospitality and Tourism,"Recreation, Amusements and Attractions",11-9071.00,Gaming Managers
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-1011.00,Gaming Supervisors
Hospitality and Tourism,"Recreation, Amusements and Attractions",11-9081.00,Lodging Managers
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-3021.00,Motion Picture Projectionists
Hospitality and Tourism,"Recreation, Amusements and Attractions",25-4013.00,Museum Technicians and Conservators
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-9032.00,Recreation Workers
Hospitality and Tourism,"Recreation, Amusements and Attractions",25-3021.00,Self-Enrichment Education Teachers
Hospitality and Tourism,"Recreation, Amusements and Attractions",27-1027.00,Set and Exhibit Designers
Hospitality and Tourism,"Recreation, Amusements and Attractions",39-1012.00,Slot Supervisors
Hospitality and Tourism,"Recreation, Amusements and Attractions",27-2023.00,"Umpires, Referees, and Other Sports Officials"
Hospitality and Tourism,Restaurants and Food/Beverage Services,51-3011.00,Bakers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3022.01,Baristas
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3011.00,Bartenders
Hospitality and Tourism,Restaurants and Food/Beverage Services,51-3021.00,Butchers and Meat Cutters
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-1011.00,Chefs and Head Cooks
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2019.00,"Cooks, All Other"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2011.00,"Cooks, Fast Food"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2012.00,"Cooks, Institution and Cafeteria"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2013.00,"Cooks, Private Household"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2014.00,"Cooks, Restaurant"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2015.00,"Cooks, Short Order"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-9021.00,Dishwashers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-9099.00,"Food Preparation and Serving Related Workers, All Other"
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-2021.00,Food Preparation Workers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3041.00,"Food Servers, Nonrestaurant"
Hospitality and Tourism,Restaurants and Food/Beverage Services,11-9051.00,Food Service Managers
Hospitality and Tourism,Restaurants and Food/Beverage Services,11-9071.00,Gaming Managers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Hospitality and Tourism,Restaurants and Food/Beverage Services,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
Hospitality and Tourism,Restaurants and Food/Beverage Services,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Hospitality and Tourism,Restaurants and Food/Beverage Services,51-3023.00,Slaughterers and Meat Packers
Hospitality and Tourism,Restaurants and Food/Beverage Services,35-3031.00,Waiters and Waitresses
Hospitality and Tourism,Travel and Tourism,11-9051.00,Food Service Managers
Hospitality and Tourism,Travel and Tourism,27-3091.00,Interpreters and Translators
Hospitality and Tourism,Travel and Tourism,11-9081.00,Lodging Managers
Hospitality and Tourism,Travel and Tourism,11-9199.00,"Managers, All Other"
Hospitality and Tourism,Travel and Tourism,13-1121.00,"Meeting, Convention, and Event Planners"
Hospitality and Tourism,Travel and Tourism,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Hospitality and Tourism,Travel and Tourism,39-7011.00,Tour Guides and Escorts
Hospitality and Tourism,Travel and Tourism,53-6061.00,"Transportation Attendants, Except Flight Attendants"
Hospitality and Tourism,Travel and Tourism,41-3041.00,Travel Agents
Hospitality and Tourism,Travel and Tourism,39-7012.00,Travel Guides
Human Services,Consumer Services,43-4051.00,Customer Service Representatives
Human Services,Consumer Services,25-9021.00,Farm and Home Management Advisors
Human Services,Consumer Services,27-1022.00,Fashion Designers
Human Services,Consumer Services,41-1011.00,First-Line Supervisors of Retail Sales Workers
Human Services,Consumer Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Human Services,Consumer Services,27-3091.00,Interpreters and Translators
Human Services,Consumer Services,13-2071.01,Loan Counselors
Human Services,Consumer Services,11-2021.00,Marketing Managers
Human Services,Consumer Services,27-3043.05,"Poets, Lyricists and Creative Writers"
Human Services,Consumer Services,11-9141.00,"Property, Real Estate, and Community Association Managers"
Human Services,Consumer Services,27-3031.00,Public Relations Specialists
Human Services,Consumer Services,11-2022.00,Sales Managers
Human Services,Consumer Services,27-3042.00,Technical Writers
Human Services,Consumer Services,27-3043.00,Writers and Authors
Human Services,Counseling and Mental Health Services,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Human Services,Counseling and Mental Health Services,21-2011.00,Clergy
Human Services,Counseling and Mental Health Services,19-3031.02,Clinical Psychologists
Human Services,Counseling and Mental Health Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Human Services,Counseling and Mental Health Services,19-3031.03,Counseling Psychologists
Human Services,Counseling and Mental Health Services,21-1019.00,"Counselors, All Other"
Human Services,Counseling and Mental Health Services,21-2021.00,"Directors, Religious Activities and Education"
Human Services,Counseling and Mental Health Services,19-1041.00,Epidemiologists
Human Services,Counseling and Mental Health Services,21-1091.00,Health Educators
Human Services,Counseling and Mental Health Services,21-1022.00,Healthcare Social Workers
Human Services,Counseling and Mental Health Services,19-3032.00,Industrial-Organizational Psychologists
Human Services,Counseling and Mental Health Services,21-1013.00,Marriage and Family Therapists
Human Services,Counseling and Mental Health Services,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Human Services,Counseling and Mental Health Services,15-2021.00,Mathematicians
Human Services,Counseling and Mental Health Services,21-1023.00,Mental Health and Substance Abuse Social Workers
Human Services,Counseling and Mental Health Services,21-1014.00,Mental Health Counselors
Human Services,Counseling and Mental Health Services,27-2041.04,Music Composers and Arrangers
Human Services,Counseling and Mental Health Services,27-2041.01,Music Directors
Human Services,Counseling and Mental Health Services,27-2041.00,Music Directors and Composers
Human Services,Counseling and Mental Health Services,11-9121.00,Natural Sciences Managers
Human Services,Counseling and Mental Health Services,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Human Services,Counseling and Mental Health Services,29-1069.00,"Physicians and Surgeons, All Other"
Human Services,Counseling and Mental Health Services,19-3039.00,"Psychologists, All Other"
Human Services,Counseling and Mental Health Services,25-1066.00,"Psychology Teachers, Postsecondary"
Human Services,Counseling and Mental Health Services,39-9032.00,Recreation Workers
Human Services,Counseling and Mental Health Services,21-1015.00,Rehabilitation Counselors
Human Services,Counseling and Mental Health Services,21-2099.00,"Religious Workers, All Other"
Human Services,Counseling and Mental Health Services,19-3031.01,School Psychologists
Human Services,Counseling and Mental Health Services,11-9151.00,Social and Community Service Managers
Human Services,Counseling and Mental Health Services,25-1113.00,"Social Work Teachers, Postsecondary"
Human Services,Counseling and Mental Health Services,19-3041.00,Sociologists
Human Services,Counseling and Mental Health Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Human Services,Early Childhood Development and Services,39-9011.00,Childcare Workers
Human Services,Early Childhood Development and Services,25-9021.00,Farm and Home Management Advisors
Human Services,Early Childhood Development and Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Human Services,Early Childhood Development and Services,39-9011.01,Nannies
Human Services,Early Childhood Development and Services,25-2011.00,"Preschool Teachers, Except Special Education"
Human Services,Family and Community Services,11-1011.00,Chief Executives
Human Services,Family and Community Services,21-1021.00,"Child, Family, and School Social Workers"
Human Services,Family and Community Services,39-9011.00,Childcare Workers
Human Services,Family and Community Services,19-4061.01,City and Regional Planning Aides
Human Services,Family and Community Services,21-2011.00,Clergy
Human Services,Family and Community Services,21-1019.00,"Counselors, All Other"
Human Services,Family and Community Services,21-2021.00,"Directors, Religious Activities and Education"
Human Services,Family and Community Services,43-4061.00,"Eligibility Interviewers, Government Programs"
Human Services,Family and Community Services,11-9161.00,Emergency Management Directors
Human Services,Family and Community Services,25-9021.00,Farm and Home Management Advisors
Human Services,Family and Community Services,21-1022.00,Healthcare Social Workers
Human Services,Family and Community Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Human Services,Family and Community Services,11-1031.00,Legislators
Human Services,Family and Community Services,11-9199.00,"Managers, All Other"
Human Services,Family and Community Services,21-1013.00,Marriage and Family Therapists
Human Services,Family and Community Services,19-3094.00,Political Scientists
Human Services,Family and Community Services,21-1092.00,Probation Officers and Correctional Treatment Specialists
Human Services,Family and Community Services,33-9099.00,"Protective Service Workers, All Other"
Human Services,Family and Community Services,39-9041.00,Residential Advisors
Human Services,Family and Community Services,11-9151.00,Social and Community Service Managers
Human Services,Family and Community Services,21-1093.00,Social and Human Service Assistants
Human Services,Family and Community Services,19-4061.00,Social Science Research Assistants
Human Services,Family and Community Services,19-3099.00,"Social Scientists and Related Workers, All Other"
Human Services,Family and Community Services,25-1113.00,"Social Work Teachers, Postsecondary"
Human Services,Family and Community Services,21-1029.00,"Social Workers, All Other"
Human Services,Family and Community Services,19-3041.00,Sociologists
Human Services,Personal Care Services,39-5011.00,Barbers
Human Services,Personal Care Services,39-3092.00,Costume Attendants
Human Services,Personal Care Services,39-4011.00,Embalmers
Human Services,Personal Care Services,39-1021.00,First-Line Supervisors of Personal Service Workers
Human Services,Personal Care Services,39-9031.00,Fitness Trainers and Aerobics Instructors
Human Services,Personal Care Services,39-4021.00,Funeral Attendants
Human Services,Personal Care Services,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Human Services,Personal Care Services,51-6011.00,Laundry and Dry-Cleaning Workers
Human Services,Personal Care Services,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Human Services,Personal Care Services,39-5091.00,"Makeup Artists, Theatrical and Performance"
Human Services,Personal Care Services,39-5092.00,Manicurists and Pedicurists
Human Services,Personal Care Services,31-9011.00,Massage Therapists
Human Services,Personal Care Services,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
Human Services,Personal Care Services,39-9021.00,Personal Care Aides
Human Services,Personal Care Services,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Human Services,Personal Care Services,51-6051.00,"Sewers, Hand"
Human Services,Personal Care Services,51-6031.00,Sewing Machine Operators
Human Services,Personal Care Services,39-5093.00,Shampooers
Human Services,Personal Care Services,39-5094.00,Skincare Specialists
Human Services,Personal Care Services,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Human Services,Personal Care Services,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Information Technology,Information Support and Services,15-1199.08,Business Intelligence Analysts
Information Technology,Information Support and Services,15-1111.00,Computer and Information Research Scientists
Information Technology,Information Support and Services,11-3021.00,Computer and Information Systems Managers
Information Technology,Information Support and Services,15-1143.00,Computer Network Architects
Information Technology,Information Support and Services,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
Information Technology,Information Support and Services,15-1199.00,"Computer Occupations, All Other"
Information Technology,Information Support and Services,43-9011.00,Computer Operators
Information Technology,Information Support and Services,25-1021.00,"Computer Science Teachers, Postsecondary"
Information Technology,Information Support and Services,15-1121.00,Computer Systems Analysts
Information Technology,Information Support and Services,15-1199.02,Computer Systems Engineers/Architects
Information Technology,Information Support and Services,15-1151.00,Computer User Support Specialists
Information Technology,Information Support and Services,15-1141.00,Database Administrators
Information Technology,Information Support and Services,15-1199.12,Document Management Specialists
Information Technology,Information Support and Services,15-1199.09,Information Technology Project Managers
Information Technology,Information Support and Services,15-1142.00,Network and Computer Systems Administrators
Information Technology,Information Support and Services,15-1132.00,"Software Developers, Applications"
Information Technology,Information Support and Services,15-1133.00,"Software Developers, Systems Software"
Information Technology,Information Support and Services,15-1199.03,Web Administrators
Information Technology,Interactive Media,15-1111.00,Computer and Information Research Scientists
Information Technology,Interactive Media,15-1131.00,Computer Programmers
Information Technology,Interactive Media,15-1121.00,Computer Systems Analysts
Information Technology,Interactive Media,15-1132.00,"Software Developers, Applications"
Information Technology,Interactive Media,15-1133.00,"Software Developers, Systems Software"
Information Technology,Network Systems,15-1111.00,Computer and Information Research Scientists
Information Technology,Network Systems,11-3021.00,Computer and Information Systems Managers
Information Technology,Network Systems,15-1143.00,Computer Network Architects
Information Technology,Network Systems,15-1152.00,Computer Network Support Specialists
Information Technology,Network Systems,15-1199.00,"Computer Occupations, All Other"
Information Technology,Network Systems,15-1131.00,Computer Programmers
Information Technology,Network Systems,25-1021.00,"Computer Science Teachers, Postsecondary"
Information Technology,Network Systems,15-1199.07,Data Warehousing Specialists
Information Technology,Network Systems,15-1141.00,Database Administrators
Information Technology,Network Systems,15-1199.06,Database Architects
Information Technology,Network Systems,27-1024.00,Graphic Designers
Information Technology,Network Systems,15-1122.00,Information Security Analysts
Information Technology,Network Systems,27-1014.00,Multimedia Artists and Animators
Information Technology,Network Systems,15-1142.00,Network and Computer Systems Administrators
Information Technology,Network Systems,15-1132.00,"Software Developers, Applications"
Information Technology,Network Systems,15-1133.00,"Software Developers, Systems Software"
Information Technology,Network Systems,15-1143.01,Telecommunications Engineering Specialists
Information Technology,Programming and Software Development,11-9041.00,Architectural and Engineering Managers
Information Technology,Programming and Software Development,15-1111.00,Computer and Information Research Scientists
Information Technology,Programming and Software Development,11-3021.00,Computer and Information Systems Managers
Information Technology,Programming and Software Development,17-2061.00,Computer Hardware Engineers
Information Technology,Programming and Software Development,15-1143.00,Computer Network Architects
Information Technology,Programming and Software Development,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
Information Technology,Programming and Software Development,15-1131.00,Computer Programmers
Information Technology,Programming and Software Development,25-1021.00,"Computer Science Teachers, Postsecondary"
Information Technology,Programming and Software Development,15-1121.00,Computer Systems Analysts
Information Technology,Programming and Software Development,15-1141.00,Database Administrators
Information Technology,Programming and Software Development,25-1032.00,"Engineering Teachers, Postsecondary"
Information Technology,Programming and Software Development,15-1122.00,Information Security Analysts
Information Technology,Programming and Software Development,15-1142.00,Network and Computer Systems Administrators
Information Technology,Programming and Software Development,15-1132.00,"Software Developers, Applications"
Information Technology,Programming and Software Development,15-1133.00,"Software Developers, Systems Software"
Information Technology,Programming and Software Development,15-1199.01,Software Quality Assurance Engineers and Testers
Information Technology,Programming and Software Development,15-1199.11,Video Game Designers
Information Technology,Programming and Software Development,15-1134.00,Web Developers
"Law, Public Safety, Corrections and Security",Correction Services,21-1021.00,"Child, Family, and School Social Workers"
"Law, Public Safety, Corrections and Security",Correction Services,33-3012.00,Correctional Officers and Jailers
"Law, Public Safety, Corrections and Security",Correction Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Correction Services,33-1011.00,First-Line Supervisors of Correctional Officers
"Law, Public Safety, Corrections and Security",Correction Services,33-1012.00,First-Line Supervisors of Police and Detectives
"Law, Public Safety, Corrections and Security",Correction Services,21-1092.00,Probation Officers and Correctional Treatment Specialists
"Law, Public Safety, Corrections and Security",Correction Services,33-9099.00,"Protective Service Workers, All Other"
"Law, Public Safety, Corrections and Security",Correction Services,25-1066.00,"Psychology Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Correction Services,33-9032.00,Security Guards
"Law, Public Safety, Corrections and Security",Correction Services,21-1029.00,"Social Workers, All Other"
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,13-1199.04,Business Continuity Planners
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-3012.00,Correctional Officers and Jailers
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,11-9161.00,Emergency Management Directors
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,29-2041.00,Emergency Medical Technicians and Paramedics
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2021.01,Fire Inspectors
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2021.00,Fire Inspectors and Investigators
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2021.02,Fire Investigators
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2011.00,Firefighters
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-1021.02,Forest Fire Fighting and Prevention Supervisors
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2022.00,Forest Fire Inspectors and Prevention Specialists
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2011.02,Forest Firefighters
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,47-4041.00,Hazardous Materials Removal Workers
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,33-2011.01,Municipal Firefighters
"Law, Public Safety, Corrections and Security",Emergency and Fire Management Services,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-9011.00,Animal Control Workers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3011.00,Bailiffs
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3012.00,Correctional Officers and Jailers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3021.03,Criminal Investigators and Special Agents
"Law, Public Safety, Corrections and Security",Law Enforcement Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3021.00,Detectives and Criminal Investigators
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-1012.00,First-Line Supervisors of Police and Detectives
"Law, Public Safety, Corrections and Security",Law Enforcement Services,19-4092.00,Forensic Science Technicians
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3021.05,Immigration and Customs Inspectors
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3041.00,Parking Enforcement Workers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3051.00,Police and Sheriff's Patrol Officers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3021.01,Police Detectives
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3021.02,Police Identification and Records Officers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3051.01,Police Patrol Officers
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-9099.00,"Protective Service Workers, All Other"
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3051.03,Sheriffs and Deputy Sheriffs
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-3052.00,Transit and Railroad Police
"Law, Public Safety, Corrections and Security",Law Enforcement Services,33-9093.00,Transportation Security Screeners
"Law, Public Safety, Corrections and Security",Legal Services,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
"Law, Public Safety, Corrections and Security",Legal Services,23-1022.00,"Arbitrators, Mediators, and Conciliators"
"Law, Public Safety, Corrections and Security",Legal Services,23-2091.00,Court Reporters
"Law, Public Safety, Corrections and Security",Legal Services,25-9021.00,Farm and Home Management Advisors
"Law, Public Safety, Corrections and Security",Legal Services,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
"Law, Public Safety, Corrections and Security",Legal Services,23-1012.00,Judicial Law Clerks
"Law, Public Safety, Corrections and Security",Legal Services,25-1112.00,"Law Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Legal Services,23-1011.00,Lawyers
"Law, Public Safety, Corrections and Security",Legal Services,43-6012.00,Legal Secretaries
"Law, Public Safety, Corrections and Security",Legal Services,23-2099.00,"Legal Support Workers, All Other"
"Law, Public Safety, Corrections and Security",Legal Services,23-2011.00,Paralegals and Legal Assistants
"Law, Public Safety, Corrections and Security",Legal Services,23-2093.00,"Title Examiners, Abstractors, and Searchers"
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9011.00,Animal Control Workers
"Law, Public Safety, Corrections and Security",Security and Protective Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9091.00,Crossing Guards
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-2011.02,Forest Firefighters
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-3021.06,Intelligence Analysts
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
"Law, Public Safety, Corrections and Security",Security and Protective Services,11-9199.08,Loss Prevention Managers
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-3041.00,Parking Enforcement Workers
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9021.00,Private Detectives and Investigators
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9099.02,Retail Loss Prevention Specialists
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-9032.00,Security Guards
"Law, Public Safety, Corrections and Security",Security and Protective Services,13-1199.02,Security Management Specialists
"Law, Public Safety, Corrections and Security",Security and Protective Services,11-9199.07,Security Managers
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-3051.03,Sheriffs and Deputy Sheriffs
"Law, Public Safety, Corrections and Security",Security and Protective Services,33-3052.00,Transit and Railroad Police
Manufacturing,"Maintenance, Installation and Repair",49-3023.02,Automotive Specialty Technicians
Manufacturing,"Maintenance, Installation and Repair",19-4021.00,Biological Technicians
Manufacturing,"Maintenance, Installation and Repair",49-9061.00,Camera and Photographic Equipment Repairers
Manufacturing,"Maintenance, Installation and Repair",17-3022.00,Civil Engineering Technicians
Manufacturing,"Maintenance, Installation and Repair",51-2021.00,"Coil Winders, Tapers, and Finishers"
Manufacturing,"Maintenance, Installation and Repair",49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Manufacturing,"Maintenance, Installation and Repair",15-1151.00,Computer User Support Specialists
